Airbnb_ListingID,City,Neighbourhood,Lat,Lng,RoomType_Clean,RoomAndPropertyType,PersonCapacity,Bathrooms,Bedrooms,Beds,BasicNightPrice,StarRating,LocationRating,CleanlinessRating,ValueRating,AccuracyRating,CheckinRating,CommunicationRating,ReviewCount,AvailableMoreThan30Days,PriceCategory,RatingBand,PropertySize,AvailabilityStatus
1.00127E+18,Pimpri-Chinchwad,Tathawade,18.6131798,73.74503577,Entire Home,Entire rental unit,3,1,1,1,1947,4.82,4.8,4.77,,,,,0,1,Budget,4.75-5.0,Medium,Available >30 Days
1.01282E+18,Pune,Unknown,18.4948,73.8365,Entire Home,Entire rental unit,5,2,2,2,4794,4.88,4.69,4.91,4.81,4.88,4.94,4.94,32,1,Premium,4.75-5.0,Medium,Available >30 Days
1.28324E+18,Pune,Gahunje,18.67365041,73.70619981,Entire Home,Entire rental unit,3,1,1,1,2794,4.88,4.97,4.88,4.88,4.91,5,4.94,33,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.28897E+18,Pune,Unknown,18.55467519,73.96922817,Entire Home,Entire apartment,4,2,2,2,4230,4.95,4.4,4.93,4.79,4.86,4.9,4.86,42,1,Premium,4.75-5.0,Medium,Available >30 Days
1.29249E+18,Pune,Unknown,18.45931831,73.82113955,Entire Home,Entire apartment,2,1,1,1,4335,5,4.67,5,4.67,5,5,5,3,1,Premium,4.75-5.0,Small,Available >30 Days
1.29379E+18,Pune,Unknown,18.5188,73.9327,Entire Home,Entire rental unit,4,2,2,2,3508,5,5,5,5,5,5,5,1,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.29559E+18,Pune,Unknown,18.5461,73.7791,Entire Home,Entire apartment,2,1,1,1,2722,4.87,4.95,4.84,4.71,4.84,4.95,5,38,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.29866E+18,Pune,Shivneri Park,18.56989906,73.77891681,Hotel,Room in hotel,2,1,1,1,5677,4.82,4.8,4.77,,,,,0,1,Premium,4.75-5.0,Small,Available >30 Days
1.46006E+18,Pimpri-Chinchwad,Unknown,18.68026,73.78825,Hotel,Room in boutique hotel,2,1,1,1,1344,4.82,4.8,4.77,,,,,0,1,Budget,4.75-5.0,Small,Available >30 Days
1.46288E+18,Pune,Unknown,18.53403429,73.89740574,Entire Home,Entire rental unit,2,1,1,1,2450,4.24,4.67,4.48,4.33,4.43,4.67,4.62,21,1,Mid-Range,4.0-4.5,Small,Available >30 Days
1.4657E+18,Pune,Unknown,18.52335,73.96302,Entire Home,Entire rental unit,3,1,1,1,1788,4.71,4,4.41,4.71,4.53,4.71,4.71,17,1,Budget,4.5-4.75,Medium,Available >30 Days
1.53961E+18,Pune,Blue Ridge Town,18.57878,73.73839,Entire Home,Entire rental unit,2,1,1,1,2170,3,3,3,3,3,2.5,3,2,1,Mid-Range,Below 3,Small,Available >30 Days
1.54094E+18,Pune,Unknown,18.56755,73.91345,Entire Home,Entire home,14,3,3,3,5323,4.33,5,4,4.33,4.33,5,5,3,1,Premium,4.0-4.5,Large,Available >30 Days
1.54565E+18,Gorhe Bk.,Gorhe,18.4166,73.758,Private Room,Private room in home,2,1,1,1,1754,4.82,4.8,4.77,,,,,0,1,Budget,4.75-5.0,Small,Available >30 Days
1.54568E+18,Pune,Unknown,18.5411,73.9225,Entire Home,Entire rental unit,3,1,1,1,1988,4.84,4.76,4.78,4.84,4.86,4.86,4.84,37,1,Budget,4.75-5.0,Medium,Available >30 Days
1.62185E+18,Pimpri-Chinchwad,Nande,18.5705775,73.72813309,Entire Home,Entire rental unit,8,2,3,3,9652,4.82,4.8,4.77,,,,,0,1,Luxury,4.75-5.0,Large,Available >30 Days
1.62245E+18,Pimpri-Chinchwad,Punawale,18.6288,73.7451,Entire Home,Entire home,3,1,1,1,1833,4.82,4.8,4.77,,,,,0,1,Budget,4.75-5.0,Medium,Available >30 Days
